Created - 13:41:34.067974: Large marble: The Boss, marbles: Shandy, Sage, Thulian Pink, Lemon Lime, Russian Violet, Rose Dust, Arylide Yellow 
Created - 13:41:34.149338: Large marble: 5-Star, marbles: Orange Soda, Light Orange, Blue Bell, Mint Cream, Purple Plum, Big Dip O’ruby, Chinese Red 
Created - 13:41:34.231854: Large marble: 5-Star, marbles: Gold, Neon Dark Green, Venetian Red, Vegas Gold, Lilac Luster, Silver Chalice, Chinese Red 
Created - 13:41:34.314412: Large marble: Hercules, marbles: Lavender Blue, Neon Dark Green, Stop Red, Silver Chalice, Tuscan Brown, Platinum, Mulberry 
Created - 13:41:34.395599: Large marble: Winner, marbles: Granny Smith Apple, La Salle Green, Antique Bronze, Honeydew, Rose Quartz, Venetian Red, Sage 
Created - 13:41:34.472208: Large marble: The Boss, marbles: Lemon Lime, White Smoke, Royal Blue, Dark Fuchsia, Chinese Red, Middle Green Yellow, Beaver 
Created - 13:41:34.556591: Large marble: Lucky, marbles: Shandy, Emerald, Lumber, Candy Pink, Brown, Granny Smith Apple, Blue Bell 
Created - 13:41:34.639398: Large marble: Zeus, marbles: Purple, Purple, Dark Fuchsia, Spanish Carmine, Big Dip O’ruby, Sage, Royal Blue 
Created - 13:41:34.720796: Large marble: Winner, marbles: Mango Tango, Cobalt Blue, Golden Yellow, Green, Gold, Royal Red, Almond 
Created - 13:41:34.805356: Large marble: The Boss, marbles: Royal Red, Neon Dark Green, Mango Tango, Green, Lilac Luster, Brink Pink, Purple Plum 
Created - 13:41:34.886097: Large marble: Zeus, marbles: Mode Beige, Eerie Black, Stop Red, Russian Green, Candy Pink, Pale Cerulean, Silver Chalice 
Created - 13:41:34.965482: Large marble: Lucky, marbles: Dark Fuchsia, Granny Smith Apple, Outrageous Orange, Green, Spanish Orange, Beaver, Slate Blue 
Created - 13:41:35.049181: Large marble: Spinner, marbles: White Smoke, Tuscan Brown, Rose Quartz, Safety Yellow, Maximum Purple, Light Orange, Honeydew 
Created - 13:41:35.133316: Large marble: Hercules, marbles: Brown, Sheen Green, Liver Chestnut, Lumber, Duke Blue, Purple Plum, Emerald 
Created - 13:41:35.215322: Large marble: Apollo, marbles: Middle Green, Light Orchid, Beaver, Neon Silver, Candy Pink, Maximum Violet, Lumber 
